127.0.0.1 - - [04/Oct/2022:21:35:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/withdog.jsp HTTP/1.1" 200 45649
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/CSS/CSSbanner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/CSS/CSSmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/CSS/CSShelp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/CSS/CSStab.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/CSS/CSSsection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/JS/JSmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/JS/JStab.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/icon/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/img/hotel10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/feed_img/1.png HTTP/1.1" 200 18852
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/feed_img/4.png HTTP/1.1" 200 17631
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/feed_img/5.png HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/feed_img/6.png HTTP/1.1" 200 20587
0:0:0:0:0:0:0:1 - - [04/Oct/2022:21:35:27 +0900] "GET /NAYEON/feed_img/7.png HTTP/1.1" 200 23854
