127.0.0.1 - - [27/Nov/2022:23:46:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:46 +0900] "GET /NAYEON/main.jsp HTTP/1.1" 200 10787
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/CSS/CSSeffect.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/CSS/CSSmangdog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/CSS/CSShover.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/img/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/img/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/img/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/img/banner5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/img/banner7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/img/banner6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/img/banner1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_121754355.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_12124761.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_121233389.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_121740276.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_12206674.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_1214862.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_12204242.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_121624544.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_121929180.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_121645207.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_121438913.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /NAYEON/mang_img/20221116_121912857.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:46:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
